json,layer,zPos,images
arms_armour,layer_1,60,arms/armour/plate/male/ arms/armour/plate/female/ arms/armour/plate/male/ arms/armour/plate/female/
arms_bracers,layer_1,70,arms/bracers/male/ arms/bracers/female/ arms/bracers/male/ arms/bracers/female/
arms_gloves,layer_1,70,arms/gloves/male/ arms/gloves/female/ arms/gloves/male/ arms/gloves/female/
arms_hands_ring_stud,layer_1,75,arms/hands/ring/stud/male/ arms/hands/ring/stud/female/ arms/hands/ring/stud/male/ arms/hands/ring/stud/female/
backpack,layer_1,110,backpack/backpack/male/ backpack/backpack/female/ backpack/backpack/male/ backpack/backpack/female/
backpack_basket,layer_1,130,backpack/basket/fg/ backpack/basket/fg/ backpack/basket/fg/ backpack/basket/fg/
backpack_basket,layer_2,5,backpack/basket/bg/ backpack/basket/bg/ backpack/basket/bg/ backpack/basket/bg/
backpack_contents_ore,layer_1,140,backpack/basket_contents/ore/fg/ backpack/basket_contents/ore/fg/ backpack/basket_contents/ore/fg/ backpack/basket_contents/ore/fg/
backpack_contents_ore,layer_2,5,backpack/basket_contents/ore/bg/ backpack/basket_contents/ore/bg/ backpack/basket_contents/ore/bg/ backpack/basket_contents/ore/bg/
backpack_contents_wood,layer_1,140,backpack/basket_contents/wood/fg/ backpack/basket_contents/wood/fg/ backpack/basket_contents/wood/fg/ backpack/basket_contents/wood/fg/
backpack_contents_wood,layer_2,5,backpack/basket_contents/wood/bg/ backpack/basket_contents/wood/bg/ backpack/basket_contents/wood/bg/ backpack/basket_contents/wood/bg/
backpack_jetpack,layer_1,110,backpack/jetpack/male/ backpack/jetpack/female/ backpack/jetpack/male/ backpack/jetpack/female/
backpack_jetpack_fins,layer_1,112,backpack/jetpack_fins/male/ backpack/jetpack_fins/female/ backpack/jetpack_fins/male/ backpack/jetpack_fins/female/
backpack_squarepack,layer_1,110,backpack/squarepack/male/ backpack/squarepack/female/ backpack/squarepack/male/ backpack/squarepack/female/
backpack_straps,layer_1,110,backpack/straps/male/ backpack/straps/female/ backpack/straps/male/ backpack/straps/female/
bauldron,layer_1,65,bauldron/male/ bauldron/female/ bauldron/male/ bauldron/female/
beards_5oclock_shadow,layer_1,111,beards/beard/5oclock_shadow/ beards/beard/5oclock_shadow/ beards/beard/5oclock_shadow/ beards/beard/5oclock_shadow/
beards_beard,layer_1,110,beards/beard/basic/ beards/beard/basic/ beards/beard/basic/ beards/beard/basic/
beards_bigstache,layer_1,111,beards/mustache/bigstache/ beards/mustache/bigstache/ beards/mustache/bigstache/ beards/mustache/bigstache/
beards_chevron,layer_1,111,beards/mustache/chevron/ beards/mustache/chevron/ beards/mustache/chevron/ beards/mustache/chevron/
beards_french,layer_1,111,beards/mustache/french/ beards/mustache/french/ beards/mustache/french/ beards/mustache/french/
beards_handlebar,layer_1,111,beards/mustache/handlebar/ beards/mustache/handlebar/ beards/mustache/handlebar/ beards/mustache/handlebar/
beards_horseshoe,layer_1,111,beards/mustache/horseshoe/ beards/mustache/horseshoe/ beards/mustache/horseshoe/ beards/mustache/horseshoe/
beards_lampshade,layer_1,111,beards/mustache/lampshade/ beards/mustache/lampshade/ beards/mustache/lampshade/ beards/mustache/lampshade/
beards_medium,layer_1,110,beards/beard/medium/ beards/beard/medium/ beards/beard/medium/ beards/beard/medium/
beards_mustache,layer_1,111,beards/mustache/basic/ beards/mustache/basic/ beards/mustache/basic/ beards/mustache/basic/
beards_trimmed,layer_1,110,beards/beard/trimmed/ beards/beard/trimmed/ beards/beard/trimmed/ beards/beard/trimmed/
beards_walrus,layer_1,111,beards/mustache/walrus/ beards/mustache/walrus/ beards/mustache/walrus/ beards/mustache/walrus/
beards_winter,layer_1,110,beards/beard/winter/male/ beards/beard/winter/female/ beards/beard/winter/male/ beards/beard/winter/female/
belt_belly,layer_1,70,torso/waist/belt_belly/male/ torso/waist/belt_belly/female/
belt_double,layer_1,70,torso/waist/belt_double/male/ torso/waist/belt_double/female/
belt_formal,layer_1,80,torso/waist/belt_formal/
belt_leather,layer_1,70,torso/waist/belt_leather/male/ torso/waist/belt_leather/female/
belt_leather2,layer_1,70,torso/waist/belt_leather2/male/ torso/waist/belt_leather2/female/
belt_loose,layer_1,70,torso/waist/belt_loose/male/ torso/waist/belt_loose/female/
belt_mage,layer_1,90,torso/waist/belt_mage/
belt_obi,layer_1,65,torso/waist/obi/male/ torso/waist/obi/thin/ torso/waist/obi/male/ torso/waist/obi/thin/
belt_obi_knot_left,layer_1,66,torso/waist/obi/knot/left/male/ torso/waist/obi/knot/left/thin/ torso/waist/obi/knot/left/male/ torso/waist/obi/knot/left/thin/
belt_obi_knot_right,layer_1,66,torso/waist/obi/knot/right/male/ torso/waist/obi/knot/right/thin/ torso/waist/obi/knot/right/male/ torso/waist/obi/knot/right/thin/
belt_robe,layer_1,70,torso/waist/belt_robe/male/ torso/waist/belt_robe/female/
belt_sash,layer_1,65,torso/waist/sash/male/ torso/waist/sash/female/
belt_sash_narrow,layer_1,65,torso/waist/sash_narrow/male/ torso/waist/sash_narrow/female/
belt_waistband,layer_1,65,torso/waist/waistband/female/
body,layer_1,10,body/bodies/male/ body/bodies/female/ body/bodies/muscular/ body/bodies/pregnant/ body/bodies/child/
body_skeleton,layer_1,10,body/bodies/skeleton/ body/bodies/skeleton/
body_zombie,layer_1,10,body/bodies/zombie/ body/bodies/zombie/
buckles,layer_1,75,torso/waist/buckles/female/
cape_solid,layer_1,85,cape/solid/female/ cape/solid/female/ cape/solid/female/ cape/solid/female/
cape_solid,layer_2,5,cape/solid_behind/ cape/solid_behind/ cape/solid_behind/ cape/solid_behind/
cape_tattered,layer_1,85,cape/tattered/female/ cape/tattered/female/ cape/tattered/female/ cape/tattered/female/
cape_tattered,layer_2,5,cape/tattered_behind/ cape/tattered_behind/ cape/tattered_behind/ cape/tattered_behind/
cape_trim,layer_1,90,cape/trim/female/ cape/trim/female/ cape/trim/female/ cape/trim/female/
dress_bodice,layer_1,45,dress/bodice/female/
dress_kimono,layer_1,30,dress/kimono/normal/universal/female/
dress_kimono_longsleeve,layer_1,31,dress/kimono/sleeves/universal/female/
dress_kimono_longsleeve,layer_2,145,dress/kimono/sleeves/universal/female_front/
dress_kimono_longsleeve_trim,layer_1,32,dress/kimono/sleeves/trim/universal/female/
dress_kimono_longsleeve_trim,layer_2,146,dress/kimono/sleeves/trim/universal/female_front/
dress_kimono_oversize,layer_1,31,dress/kimono/sleeves_oversize/universal/female/
dress_kimono_oversize,layer_2,145,dress/kimono/sleeves_oversize/universal/female_front/
dress_kimono_oversize_trim,layer_1,32,dress/kimono/sleeves_oversize/trim/universal/female/
dress_kimono_oversize_trim,layer_2,146,dress/kimono/sleeves_oversize/trim/universal/female_front/
dress_kimono_split,layer_1,30,dress/kimono/split/universal/female/
dress_kimono_split_trim,layer_1,31,dress/kimono/split/trim/universal/female/
dress_kimono_trim,layer_1,31,dress/kimono/normal/trim/universal/female/
dress_sash,layer_1,30,dress/sash/female/
dress_slit,layer_1,30,dress/slit/female/
eye_color,layer_1,105,eyes/human/${head}/${expression}/ eyes/human/${head}/${expression}/ eyes/human/${head}/${expression}/ eyes/human/${head}/${expression}/ eyes/human/child/${expression}/
eyebrows_thick,layer_1,106,eyes/eyebrows/thick/adult/ eyes/eyebrows/thick/adult/ eyes/eyebrows/thick/adult/ eyes/eyebrows/thick/adult/ eyes/eyebrows/thick/child/
eyebrows_thin,layer_1,106,eyes/eyebrows/thin/adult/ eyes/eyebrows/thin/adult/ eyes/eyebrows/thin/adult/ eyes/eyebrows/thin/adult/ eyes/eyebrows/thin/child/
eyes_child,layer_1,105,eyes/human/child/
eyes_cyclops,layer_1,105,eyes/cyclops/adult/ eyes/cyclops/adult/ eyes/cyclops/adult/ eyes/cyclops/adult/ eyes/cyclops/child/
eyes_elderly_anger,layer_1,105,eyes/human/elderly/anger/ eyes/human/elderly/anger/ eyes/human/elderly/anger/ eyes/human/elderly/anger/
eyes_elderly_closing,layer_1,105,eyes/human/elderly/closing/ eyes/human/elderly/closing/ eyes/human/elderly/closing/ eyes/human/elderly/closing/
eyes_elderly_default,layer_1,105,eyes/human/elderly/default/ eyes/human/elderly/default/ eyes/human/elderly/default/ eyes/human/elderly/default/
eyes_elderly_eyeroll,layer_1,105,eyes/human/elderly/eyeroll/ eyes/human/elderly/eyeroll/ eyes/human/elderly/eyeroll/ eyes/human/elderly/eyeroll/
eyes_elderly_look_l,layer_1,105,eyes/human/elderly/look_l/ eyes/human/elderly/look_l/ eyes/human/elderly/look_l/ eyes/human/elderly/look_l/
eyes_elderly_look_r,layer_1,105,eyes/human/elderly/look_r/ eyes/human/elderly/look_r/ eyes/human/elderly/look_r/ eyes/human/elderly/look_r/
eyes_elderly_sad,layer_1,105,eyes/human/elderly/sad/ eyes/human/elderly/sad/ eyes/human/elderly/sad/ eyes/human/elderly/sad/
eyes_elderly_shame,layer_1,105,eyes/human/elderly/shame/ eyes/human/elderly/shame/ eyes/human/elderly/shame/ eyes/human/elderly/shame/
eyes_elderly_shock,layer_1,105,eyes/human/elderly/shock/ eyes/human/elderly/shock/ eyes/human/elderly/shock/ eyes/human/elderly/shock/
face_angry,layer_1,101,head/faces/${head}/anger/ head/faces/${head}/anger/ head/faces/${head}/anger/ head/faces/${head}/anger/
face_angry2,layer_1,106,head/faces/global/angry2/ head/faces/global/angry2/ head/faces/global/angry2/ head/faces/global/angry2/
face_blush,layer_1,101,head/faces/${head}/blush/ head/faces/${head}/blush/ head/faces/${head}/blush/ head/faces/${head}/blush/
face_closed,layer_1,101,head/faces/${head}/closed/ head/faces/${head}/closed/ head/faces/${head}/closed/ head/faces/${head}/closed/
face_closing,layer_1,101,head/faces/${head}/closing/ head/faces/${head}/closing/ head/faces/${head}/closing/ head/faces/${head}/closing/
face_eyeroll,layer_1,101,head/faces/${head}/eyeroll/ head/faces/${head}/eyeroll/ head/faces/${head}/eyeroll/ head/faces/${head}/eyeroll/
face_happy,layer_1,101,head/faces/${head}/happy/ head/faces/${head}/happy/ head/faces/${head}/happy/ head/faces/${head}/happy/
face_happy2,layer_1,106,head/faces/global/happy2/ head/faces/global/happy2/ head/faces/global/happy2/ head/faces/global/happy2/
face_look_l,layer_1,101,head/faces/${head}/look_l/ head/faces/${head}/look_l/ head/faces/${head}/look_l/ head/faces/${head}/look_l/
face_look_r,layer_1,101,head/faces/${head}/look_r/ head/faces/${head}/look_r/ head/faces/${head}/look_r/ head/faces/${head}/look_r/
face_neutral,layer_1,101,head/faces/${head}/neutral/ head/faces/${head}/neutral/ head/faces/${head}/neutral/ head/faces/${head}/neutral/
face_sad,layer_1,101,head/faces/${head}/sad/ head/faces/${head}/sad/ head/faces/${head}/sad/ head/faces/${head}/sad/
face_sad2,layer_1,101,head/faces/global/sad2/ head/faces/global/sad2/ head/faces/global/sad2/ head/faces/global/sad2/
face_shame,layer_1,101,head/faces/${head}/shame/ head/faces/${head}/shame/ head/faces/${head}/shame/ head/faces/${head}/shame/
face_shock,layer_1,101,head/faces/${head}/shock/ head/faces/${head}/shock/ head/faces/${head}/shock/ head/faces/${head}/shock/
face_tears,layer_1,107,head/faces/global/tears/ head/faces/global/tears/ head/faces/global/tears/ head/faces/global/tears/
facial_earring_left,layer_1,115,facial/earrings/simple/left/adult/ facial/earrings/simple/left/adult/ facial/earrings/simple/left/adult/ facial/earrings/simple/left/adult/ facial/earrings/simple/left/child/
facial_earring_right,layer_1,115,facial/earrings/simple/right/adult/ facial/earrings/simple/right/adult/ facial/earrings/simple/right/adult/ facial/earrings/simple/right/adult/ facial/earrings/simple/right/child/
facial_earrings_emerald,layer_1,115,facial/earrings/emerald/male/ facial/earrings/emerald/female/ facial/earrings/emerald/male/ facial/earrings/emerald/female/
facial_earrings_moon,layer_1,115,facial/earrings/moon/male/ facial/earrings/moon/female/ facial/earrings/moon/male/ facial/earrings/moon/female/
facial_earrings_pear,layer_1,115,facial/earrings/pear/male/ facial/earrings/pear/female/ facial/earrings/pear/male/ facial/earrings/pear/female/
facial_earrings_princess,layer_1,115,facial/earrings/princess/male/ facial/earrings/princess/female/ facial/earrings/princess/male/ facial/earrings/princess/female/
facial_earrings_stud,layer_1,115,facial/earrings/stud/male/ facial/earrings/stud/female/ facial/earrings/stud/male/ facial/earrings/stud/female/
facial_eyepatch2_left,layer_1,115,facial/patches/eyepatch2/left/adult/ facial/patches/eyepatch2/left/adult/ facial/patches/eyepatch2/left/adult/ facial/patches/eyepatch2/left/adult/ facial/patches/eyepatch2/left/child/
facial_eyepatch2_right,layer_1,115,facial/patches/eyepatch2/right/adult/ facial/patches/eyepatch2/right/adult/ facial/patches/eyepatch2/right/adult/ facial/patches/eyepatch2/right/adult/ facial/patches/eyepatch2/right/child/
facial_eyepatch_ambi,layer_1,115,facial/patches/eyepatch/ambi/adult/ facial/patches/eyepatch/ambi/adult/ facial/patches/eyepatch/ambi/adult/ facial/patches/eyepatch/ambi/adult/ facial/patches/eyepatch/ambi/child/
facial_eyepatch_left,layer_1,115,facial/patches/eyepatch/left/adult/ facial/patches/eyepatch/left/adult/ facial/patches/eyepatch/left/adult/ facial/patches/eyepatch/left/adult/ facial/patches/eyepatch/left/child/
facial_eyepatch_right,layer_1,115,facial/patches/eyepatch/right/adult/ facial/patches/eyepatch/right/adult/ facial/patches/eyepatch/right/adult/ facial/patches/eyepatch/right/adult/ facial/patches/eyepatch/right/child/
facial_eyepatch_small_left,layer_1,115,facial/patches/small/left/adult/ facial/patches/small/left/adult/ facial/patches/small/left/adult/ facial/patches/small/left/adult/ facial/patches/small/left/child/
facial_eyepatch_small_right,layer_1,115,facial/patches/small/right/adult/ facial/patches/small/right/adult/ facial/patches/small/right/adult/ facial/patches/small/right/adult/ facial/patches/small/right/child/
facial_glasses,layer_1,115,facial/glasses/glasses/adult/ facial/glasses/glasses/adult/ facial/glasses/glasses/adult/ facial/glasses/glasses/adult/ facial/glasses/glasses/child/
facial_glasses_halfmoon,layer_1,115,facial/glasses/halfmoon/adult/ facial/glasses/halfmoon/adult/ facial/glasses/halfmoon/adult/ facial/glasses/halfmoon/adult/ facial/glasses/halfmoon/child/
facial_glasses_nerd,layer_1,115,facial/glasses/nerd/adult/ facial/glasses/nerd/adult/ facial/glasses/nerd/adult/ facial/glasses/nerd/adult/ facial/glasses/nerd/child/
facial_glasses_round,layer_1,115,facial/glasses/round/adult/ facial/glasses/round/adult/ facial/glasses/round/adult/ facial/glasses/round/adult/ facial/glasses/round/child/
facial_glasses_secretary,layer_1,115,facial/glasses/secretary/adult/ facial/glasses/secretary/adult/ facial/glasses/secretary/adult/ facial/glasses/secretary/adult/ facial/glasses/secretary/child/
facial_glasses_shades,layer_1,115,facial/glasses/shades/adult/ facial/glasses/shades/adult/ facial/glasses/shades/adult/ facial/glasses/shades/adult/ facial/glasses/shades/child/
facial_glasses_sunglasses,layer_1,115,facial/glasses/sunglasses/adult/ facial/glasses/sunglasses/adult/ facial/glasses/sunglasses/adult/ facial/glasses/sunglasses/adult/ facial/glasses/sunglasses/child/
facial_mask_plain,layer_1,114,facial/masks/plain/adult/ facial/masks/plain/adult/ facial/masks/plain/adult/ facial/masks/plain/adult/ facial/masks/plain/child/
facial_monocle_left,layer_1,115,facial/monocle/left/adult/ facial/monocle/left/adult/ facial/monocle/left/adult/ facial/monocle/left/adult/ facial/monocle/left/child/
